2016-08-31 14:39:13,330  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:13,429  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:13,512  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:13,610  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:13,710  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:13,858  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:13,943  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:14,019  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:14,138  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:14,247  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:14,348  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:14,424  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:14,520  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:14,620  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:14,722  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:14,822  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:14,920  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:15,019  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:15,120  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:15,220  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:15,323  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:16,732  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:16,872  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:16,969  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:17,061  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:17,159  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:17,258  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:17,345  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:17,419  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:17,529  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:17,608  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:18,622  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:18,730  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:18,837  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:18,912  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:19,041  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:19,117  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:19,214  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:19,335  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:19,420  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:19,518  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:19,616  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:19,718  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:19,818  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:19,919  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:20,040  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:20,143  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:20,251  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:20,355  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:20,428  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:20,511  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:20,611  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:20,710  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:20,829  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:20,915  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:21,015  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:21,119  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:21,216  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:21,317  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:21,421  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:21,523  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:21,627  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:21,730  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:21,825  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:21,925  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:22,026  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:22,127  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:22,245  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:22,355  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:22,455  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:22,529  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:22,640  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:22,722  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:22,849  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:22,951  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:23,030  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:23,153  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:23,247  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:23,341  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:23,422  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:23,525  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:31,937  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:32,040  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:32,139  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:32,249  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:32,361  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:32,458  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:32,536  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:32,622  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:32,760  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:32,862  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:32,939  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:33,023  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
